Loss,Accuracy,Validation Loss,Validation Accuracy
0.6945992708206177,0.49980899691581726,0.6905040740966797,0.55080646276474
0.6938104033470154,0.49980899691581726,0.6912567019462585,0.55080646276474
0.6934962272644043,0.5015917420387268,0.6921619772911072,0.5483871102333069
0.6934290528297424,0.47930726408958435,0.6926606893539429,0.5403226017951965
0.6932113766670227,0.4975168704986572,0.6936459541320801,0.4653225839138031
0.6932538151741028,0.4869476556777954,0.6928788423538208,0.5181451439857483
0.6931552886962891,0.5014644265174866,0.692943274974823,0.5221773982048035
0.6931366324424744,0.5037565231323242,0.6931725740432739,0.4971774220466614
0.6930975317955017,0.5082134008407593,0.6927399039268494,0.5415322780609131
0.6930462718009949,0.5041385293006897,0.6927909851074219,0.5322580933570862
0.6931157112121582,0.5125429630279541,0.6928710341453552,0.5254032015800476
0.6929817199707031,0.5178912281990051,0.6927476525306702,0.5415322780609131
0.6930015087127686,0.4984082579612732,0.6927879452705383,0.5330645442008972
0.6928608417510986,0.5173819065093994,0.6922097206115723,0.550000011920929
0.6929717659950256,0.5055392980575562,0.6926898956298828,0.5431451797485352
0.6928710341453552,0.5134343504905701,0.6922857761383057,0.5483871102333069
0.6930658221244812,0.5003183484077454,0.6925659775733948,0.5512096881866455
0.6927968263626099,0.5169999003410339,0.6921477317810059,0.5528225898742676
0.6929329037666321,0.5177639126777649,0.6928834915161133,0.524193525314331
0.6927703619003296,0.522348165512085,0.6934226751327515,0.4770161211490631
0.6928117871284485,0.5166178345680237,0.6928508877754211,0.5229838490486145
0.6927436590194702,0.5245129466056824,0.6928390860557556,0.5254032015800476
0.69288569688797,0.5252769589424133,0.6928773522377014,0.5237902998924255
0.6927163600921631,0.5215840935707092,0.6931599974632263,0.49475806951522827
0.6926841139793396,0.5138163566589355,0.6937175989151001,0.4608871042728424
0.6927340030670166,0.5055392980575562,0.6936807036399841,0.4612903296947479
0.692717969417572,0.5119062662124634,0.6936474442481995,0.4625000059604645
0.692588746547699,0.5105055570602417,0.6934945583343506,0.47137096524238586
0.6924819350242615,0.5269323587417603,0.6940178871154785,0.4532258212566376
0.6926388144493103,0.5061759948730469,0.6938992738723755,0.45725807547569275
