Loss,Accuracy,Validation Loss,Validation Accuracy
0.6932734847068787,0.48425498604774475,0.6931903958320618,0.4846014380455017
0.6931647062301636,0.4932368993759155,0.6931086778640747,0.5031703114509583
0.6930513381958008,0.5084912180900574,0.6930755376815796,0.4989001154899597
0.6929885149002075,0.5181344747543335,0.6930209398269653,0.4941770136356354
0.6929112076759338,0.5027095079421997,0.6929149627685547,0.5104166865348816
0.6928452849388123,0.5234681963920593,0.6928689479827881,0.5007116794586182
0.6927863955497742,0.5179638266563416,0.6928060054779053,0.5030409097671509
0.6927465200424194,0.51589435338974,0.6927315592765808,0.5126164555549622
0.692660391330719,0.5181984901428223,0.6926417946815491,0.5436076521873474
0.6925897002220154,0.5393838286399841,0.6926027536392212,0.5160455703735352
0.6925351023674011,0.5165770649909973,0.6925151348114014,0.5346143841743469
0.6924134492874146,0.5523553490638733,0.6925449967384338,0.496441513299942
0.6923531889915466,0.5375704169273376,0.6924731731414795,0.4970885217189789
0.6922734975814819,0.5110086798667908,0.6922955513000488,0.5306677222251892
0.6922303438186646,0.5449522137641907,0.6922093629837036,0.5300853848457336
0.6921023726463318,0.5430321097373962,0.6921725869178772,0.5085403919219971
0.6920477747917175,0.5240868926048279,0.6919896006584167,0.54347825050354
0.6919252276420593,0.5419226884841919,0.6919416785240173,0.5170807242393494
0.6917685270309448,0.5297832489013672,0.6918070316314697,0.5238742232322693
0.6916499137878418,0.5485577583312988,0.6916986107826233,0.520703911781311
0.6915167570114136,0.5414533019065857,0.6915234327316284,0.5313146710395813
0.6913436055183411,0.534263551235199,0.6913177967071533,0.5512422323226929
0.6912160515785217,0.5470216870307922,0.6912485957145691,0.527497410774231
0.6910713911056519,0.5422213673591614,0.6910176873207092,0.5433488488197327
0.6908172369003296,0.5370796918869019,0.6907481551170349,0.5667701959609985
0.6906759738922119,0.5531447529792786,0.6905426383018494,0.5619823932647705
0.6905125379562378,0.5494111776351929,0.690396785736084,0.5502070188522339
0.6901816129684448,0.546552300453186,0.690068244934082,0.5642468929290771
0.6898300051689148,0.5491124987602234,0.6898714900016785,0.5679348111152649
0.6898552179336548,0.5578383803367615,0.6895264983177185,0.5619823932647705
