Loss,Accuracy,Validation Loss,Validation Accuracy
0.6927900314331055,0.5159154534339905,0.6976737976074219,0.33669355511665344
0.692294716835022,0.5151515007019043,0.7013904452323914,0.3362903296947479
0.6924998760223389,0.5052202939987183,0.7015817165374756,0.3362903296947479
0.6930180191993713,0.4947797358036041,0.70014488697052,0.3362903296947479
0.693193256855011,0.48866820335388184,0.6982585787773132,0.33669355511665344
0.6930264830589294,0.4871402978897095,0.6965559720993042,0.33709678053855896
0.6928145289421082,0.49732688069343567,0.6955791115760803,0.3536290228366852
0.6923686861991882,0.5091673135757446,0.6977065205574036,0.33669355511665344
0.6926628351211548,0.4963085651397705,0.6969029903411865,0.33870968222618103
0.6925329566001892,0.49363380670547485,0.6972824335098267,0.33790323138237
0.6923756003379822,0.4988541007041931,0.6965277791023254,0.34153226017951965
0.6917611360549927,0.5131109952926636,0.699169933795929,0.3362903296947479
0.6918160319328308,0.5029284358024597,0.6996314525604248,0.3362903296947479
0.6914440393447876,0.5133689641952515,0.7023599147796631,0.3362903296947479
0.690493643283844,0.5194805264472961,0.7058778405189514,0.3362903296947479
0.6916114687919617,0.5031830668449402,0.7050870060920715,0.3362903296947479
0.6924394369125366,0.4929971992969513,0.7021726965904236,0.3362903296947479
0.6912803053855896,0.5072574615478516,0.7027272582054138,0.3362903296947479
0.6914296746253967,0.5011458992958069,0.7020586133003235,0.3362903296947479
0.6921377182006836,0.49286988377571106,0.6996790766716003,0.3362903296947479
0.6913110017776489,0.5036923885345459,0.6995116472244263,0.33669355511665344
0.6918203830718994,0.4955436587333679,0.6986268758773804,0.3375000059604645
0.6917724013328552,0.49859943985939026,0.6978431344032288,0.34193548560142517
0.6903219819068909,0.5203666090965271,0.7013539671897888,0.33669355511665344
0.6914094090461731,0.49656227231025696,0.7008745074272156,0.3358871042728424
0.6916537880897522,0.4979628324508667,0.6999711394309998,0.33709678053855896
0.6911933422088623,0.49286988377571106,0.6985466480255127,0.34112903475761414
0.6906043887138367,0.5077667236328125,0.6997784972190857,0.33669355511665344
0.6911242008209229,0.4950343668460846,0.6976589560508728,0.3467741906642914
0.6904929876327515,0.5192258954048157,0.7001503109931946,0.33709678053855896
0.6900771260261536,0.513114333152771,0.7010449767112732,0.33669355511665344
0.6895554661750793,0.5193532109260559,0.7040830254554749,0.3362903296947479
0.6907151341438293,0.49732688069343567,0.7006755471229553,0.33709678053855896
0.6907152533531189,0.5,0.699506938457489,0.3403225839138031
0.6891187429428101,0.5233002305030823,0.7039610147476196,0.3358871042728424
0.6904526948928833,0.49987268447875977,0.702002763748169,0.33669355511665344
0.6897020936012268,0.5066191554069519,0.7019022107124329,0.33669355511665344
0.6913243532180786,0.48663100600242615,0.6966931819915771,0.38749998807907104
0.6899746656417847,0.5101858973503113,0.6977020502090454,0.36693549156188965
0.6901037096977234,0.5231670141220093,0.6980178952217102,0.3637096881866455
0.6901925802230835,0.5210084319114685,0.6981186866760254,0.36491936445236206
0.6898666620254517,0.5244461297988892,0.6985678672790527,0.3580645024776459
0.6893907785415649,0.5258467197418213,0.6998206973075867,0.34637096524238586
0.6892107725143433,0.5113317966461182,0.6998130679130554,0.34637096524238586
0.6893362998962402,0.5077647566795349,0.6982647180557251,0.3745967745780945
0.6894338130950928,0.5463458299636841,0.6981800198554993,0.37862902879714966
0.6893759965896606,0.5235548615455627,0.6983855962753296,0.3770161271095276
0.6899124979972839,0.5098039507865906,0.6961912512779236,0.43225806951522827
0.6890929937362671,0.5532212853431702,0.6970438361167908,0.41088709235191345
0.6896336674690247,0.5533486008644104,0.6941044330596924,0.5004032254219055
