Loss,Accuracy,Validation Loss,Validation Accuracy
0.6937675476074219,0.4955645203590393,0.6961989402770996,0.44054877758026123
0.6929689645767212,0.5072580575942993,0.6993841528892517,0.396341472864151
0.6934683322906494,0.48951613903045654,0.6929197311401367,0.4984756112098694
0.6923336386680603,0.5173386931419373,0.6944314241409302,0.4771341383457184
0.6928504705429077,0.5133064389228821,0.6931019425392151,0.4923780560493469
0.6919770836830139,0.5294354557991028,0.6918935775756836,0.5274389982223511
0.6919893026351929,0.512499988079071,0.6859747171401978,0.6173780560493469
0.692223072052002,0.5161290168762207,0.6921958923339844,0.5167682766914368
0.6912341713905334,0.5439516305923462,0.6950466632843018,0.4710365831851959
0.6908684372901917,0.55080646276474,0.692284345626831,0.5121951103210449
0.6906490921974182,0.5435484051704407,0.6964020133018494,0.45579269528388977
0.6906575560569763,0.5379032492637634,0.690837562084198,0.5274389982223511
0.6902139186859131,0.5427419543266296,0.6896755695343018,0.5472561120986938
0.6904183030128479,0.5415322780609131,0.6877975463867188,0.5807926654815674
0.6904220581054688,0.5387097001075745,0.694100558757782,0.48628050088882446
0.688872754573822,0.5427419543266296,0.6961800456047058,0.458841472864151
0.689459502696991,0.5641129016876221,0.6906048655509949,0.5243902206420898
0.6891834139823914,0.5685483813285828,0.6878319978713989,0.5548780560493469
0.6891899704933167,0.5661290287971497,0.6903780698776245,0.5259146094322205
0.6880537271499634,0.5883064270019531,0.6890678405761719,0.5320122241973877
0.6879534125328064,0.584274172782898,0.6866617202758789,0.5807926654815674
0.6879692077636719,0.5774193406105042,0.694609522819519,0.48475611209869385
0.6874958276748657,0.5786290168762207,0.6902677416801453,0.5091463327407837
0.6862785816192627,0.6052419543266296,0.6929540634155273,0.5015243887901306
0.6871486306190491,0.5947580933570862,0.6891911029815674,0.5152438879013062
0.6871878504753113,0.574999988079071,0.6906643509864807,0.5121951103210449
0.6855019927024841,0.6064516305923462,0.6881231665611267,0.5350610017776489
0.6866165399551392,0.5834677219390869,0.6932085752487183,0.4984756112098694
0.6856140494346619,0.5870967507362366,0.6843201518058777,0.6006097793579102
0.6864741444587708,0.5604838728904724,0.6827103495597839,0.6295731663703918
