Loss,Accuracy,Validation Loss,Validation Accuracy
0.6940329074859619,0.48879551887512207,0.6931442022323608,0.49153226613998413
0.6929962635040283,0.5062388777732849,0.6922249794006348,0.637499988079071
0.6918559074401855,0.5351413488388062,0.6889287233352661,0.6862903237342834
0.691301167011261,0.5282658338546753,0.6996787190437317,0.3407258093357086
0.6894810199737549,0.5542398691177368,0.6821728348731995,0.665725827217102
0.6863651871681213,0.5662083029747009,0.6782094836235046,0.6407257914543152
0.6780723333358765,0.5828877091407776,0.6722884774208069,0.6120967864990234
0.6715236902236938,0.5970206260681152,0.6940597891807556,0.5330645442008972
0.6694899797439575,0.5981665253639221,0.6662825345993042,0.5983871221542358
0.6678268313407898,0.5891265869140625,0.6861612796783447,0.5532258152961731
0.6612226963043213,0.6059333086013794,0.656278669834137,0.6129032373428345
0.6601226329803467,0.594195544719696,0.6305809617042542,0.6830645203590393
0.659892201423645,0.6009676456451416,0.6648960113525391,0.5951613187789917
0.6529014706611633,0.6217213869094849,0.6159266233444214,0.6858870983123779
0.6488112211227417,0.6137983798980713,0.6239904165267944,0.6701613068580627
0.6519020199775696,0.6111535429954529,0.640783965587616,0.6334677338600159
0.6458775997161865,0.6189202666282654,0.6505789756774902,0.6145161390304565
0.6440149545669556,0.6235039234161377,0.6585365533828735,0.603225827217102
0.6381654739379883,0.6266870498657227,0.6884843111038208,0.5504032373428345
0.6326015591621399,0.6376368999481201,0.6442553400993347,0.6213709712028503
0.633245050907135,0.631270706653595,0.6870457530021667,0.5520161390304565
0.6277889013290405,0.6441304087638855,0.6644124388694763,0.5919354557991028
0.6257426142692566,0.6409472823143005,0.5967530012130737,0.6879032254219055
0.6268092393875122,0.6347084045410156,0.6553981900215149,0.6040322780609131
0.6272174119949341,0.6334351897239685,0.6279157996177673,0.6411290168762207
0.6221875548362732,0.6377642154693604,0.6095393896102905,0.6625000238418579
0.6157776713371277,0.6571173667907715,0.5815967321395874,0.6923387050628662
0.6179806590080261,0.6459128856658936,0.5819782614707947,0.6947580575942993
0.6162272691726685,0.6481670141220093,0.721051037311554,0.5205644965171814
0.6137672066688538,0.6502419114112854,0.6013848185539246,0.6665322780609131
