Loss,Accuracy,Validation Loss,Validation Accuracy
0.6916405558586121,0.5365890264511108,0.6848318576812744,0.5174689292907715
0.6720544695854187,0.5920805335044861,0.6840566396713257,0.549236536026001
0.6468904614448547,0.6201356649398804,0.634773850440979,0.6312111616134644
0.6240752935409546,0.6438385248184204,0.6120451092720032,0.6569616794586182
0.5946815013885498,0.6750298738479614,0.6065070629119873,0.652497410774231
0.5699934363365173,0.6998208165168762,0.5711455941200256,0.6979813575744629
0.5367962718009949,0.7260411381721497,0.5371946692466736,0.7164855003356934
0.4931170642375946,0.761904776096344,0.5053203105926514,0.7467002868652344
0.44312435388565063,0.797085702419281,0.46284735202789307,0.7804735898971558
0.37723737955093384,0.8405929803848267,0.40438199043273926,0.818581759929657
0.3028036057949066,0.8838112354278564,0.38485002517700195,0.830486536026001
0.22693966329097748,0.9208695888519287,0.305254727602005,0.8764880895614624
0.15716156363487244,0.952423632144928,0.22109168767929077,0.9188664555549622
0.09900126606225967,0.9747183918952942,0.1631574034690857,0.9437758922576904
0.05907979607582092,0.9873058795928955,0.16075491905212402,0.9424818754196167
0.03482186049222946,0.9933862686157227,0.09321075677871704,0.9692676067352295
0.01814093440771103,0.9972691535949707,0.11362918466329575,0.9716615080833435
0.009853133000433445,0.9988265633583069,0.15706995129585266,0.9588509202003479
0.005472247488796711,0.9993599653244019,0.07315713167190552,0.9841485619544983
0.0045008608140051365,0.999402642250061,0.07081671059131622,0.9849249720573425
0.00317671662196517,0.9997226595878601,0.07001626491546631,0.9861542582511902
0.012907716445624828,0.9979091882705688,0.0776996985077858,0.9842779636383057
0.0018608046229928732,0.9998719692230225,0.06899330765008926,0.9859601259231567
0.003745898837223649,0.9995092749595642,0.07441280782222748,0.9835015535354614
0.002819573972374201,0.999573290348053,0.06440223753452301,0.9877070188522339
0.0022674950305372477,0.9998080134391785,0.07313503324985504,0.9879011511802673
0.0029662526212632656,0.9996586441993713,0.07339156419038773,0.9869306683540344
0.003119578119367361,0.9991679191589355,0.06844580173492432,0.9872541427612305
0.001881962874904275,0.9997866749763489,0.07074601203203201,0.9879011511802673
0.0027988040819764137,0.9992746114730835,0.06959990411996841,0.9874482154846191
